Profile,Player,Position,Season,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,Regular season,3,0,0,0,24,1,2,0,5,19,79.2,3.17,0,94:41,5681
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,KHL Total,3,0,0,0,24,1,2,0,5,19,79.2,3.17,0,94:41,5681
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,Regular season,8,0,0,0,140,1,2,1,15,125,89.3,2.69,0,335:07,20107
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,KHL Total,8,0,0,0,140,1,2,1,15,125,89.3,2.69,0,335:07,20107
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Regular season,130,0,2,4,3111,41,54,13,312,2799,90.0,2.89,5,6488:11,389291
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Playoffs,6,0,0,0,141,1,4,0,15,126,89.4,3.28,0,274:11,16451
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,KHL Total,136,0,2,4,3252,42,58,13,327,2925,89.9,2.9,5,6762:22,405742
https://en.khl.ru/players/6237/,Alexei Anisimov,Goalie,Regular season,17,0,0,0,228,0,5,3,33,195,85.5,3.87,0,511:56,30716
https://en.khl.ru/players/6237/,Alexei Anisimov,Goalie,KHL Total,17,0,0,0,228,0,5,3,33,195,85.5,3.87,0,511:56,30716
https://en.khl.ru/players/22425/,Alexei Artamkin,Goalie,Regular season,14,0,1,0,348,0,9,1,36,312,89.7,3.59,0,601:51,36111
https://en.khl.ru/players/22425/,Alexei Artamkin,Goalie,Playoffs,1,0,0,0,3,0,0,0,0,3,100.0,0.0,0,8:19,499
https://en.khl.ru/players/22425/,Alexei Artamkin,Goalie,KHL Total,15,0,1,0,351,0,9,1,36,315,89.7,3.54,0,610:10,36610
https://en.khl.ru/players/29108/,Artur Akhtyamov,Goalie,Regular season,3,0,0,0,52,0,1,1,5,47,90.4,2.9,0,103:25,6205
https://en.khl.ru/players/29108/,Artur Akhtyamov,Goalie,KHL Total,3,0,0,0,52,0,1,1,5,47,90.4,2.9,0,103:25,6205
https://en.khl.ru/players/18767/,Ari Ahonen,Goalie,Regular season,109,0,3,2,3021,59,37,12,247,2774,91.8,2.35,9,6306:11,378371
https://en.khl.ru/players/18767/,Ari Ahonen,Goalie,Playoffs,18,0,0,0,538,7,10,0,45,493,91.6,2.69,1,1003:13,60193
https://en.khl.ru/players/18767/,Ari Ahonen,Goalie,KHL Total,127,0,3,2,3559,66,47,12,292,3267,91.8,2.4,10,7309:24,438564
https://en.khl.ru/players/32975/,Yaroslav Askarov,Goalie,Regular season,10,0,0,2,228,6,4,0,12,216,94.7,1.3,1,555:14,33314
https://en.khl.ru/players/32975/,Yaroslav Askarov,Goalie,KHL Total,10,0,0,2,228,6,4,0,12,216,94.7,1.3,1,555:14,33314
https://en.khl.ru/players/18488/,Evgeny Alikin,Goalie,Regular season,122,0,2,12,3328,37,50,19,255,3073,92.3,2.44,9,6281:48,376908
https://en.khl.ru/players/18488/,Evgeny Alikin,Goalie,KHL Total,122,0,2,12,3328,37,50,19,255,3073,92.3,2.44,9,6281:48,376908
https://en.khl.ru/players/15669/,Ilya Andryukhov,Goalie,Regular season,5,0,0,0,92,0,2,1,6,86,93.5,1.72,0,209:34,12574
https://en.khl.ru/players/15669/,Ilya Andryukhov,Goalie,KHL Total,5,0,0,0,92,0,2,1,6,86,93.5,1.72,0,209:34,12574
https://en.khl.ru/players/24606/,Arseny Akhmetov,Goalie,Regular season,3,0,0,0,41,0,1,0,4,37,90.2,2.46,0,97:40,5860
https://en.khl.ru/players/24606/,Arseny Akhmetov,Goalie,KHL Total,3,0,0,0,41,0,1,0,4,37,90.2,2.46,0,97:40,5860
https://en.khl.ru/players/15517/,Ugis Avotins,Goalie,Regular season,1,0,0,0,0,0,0,0,0,0,,0.0,0,0:13,13
https://en.khl.ru/players/15517/,Ugis Avotins,Goalie,KHL Total,1,0,0,0,0,0,0,0,0,0,,0.0,0,0:13,13
https://en.khl.ru/players/30153/,Mantas Armalis,Goalie,Regular season,12,0,0,0,269,3,5,1,24,245,91.1,2.5,0,576:37,34597
https://en.khl.ru/players/30153/,Mantas Armalis,Goalie,KHL Total,12,0,0,0,269,3,5,1,24,245,91.1,2.5,0,576:37,34597
https://en.khl.ru/players/431/,Sergei Borisov,Goalie,Regular season,154,0,1,36,4380,32,82,22,388,3992,91.1,2.87,4,8116:59,487019
https://en.khl.ru/players/431/,Sergei Borisov,Goalie,KHL Total,154,0,1,36,4380,32,82,22,388,3992,91.1,2.87,4,8116:59,487019
https://en.khl.ru/players/21417/,Barry Brust,Goalie,Regular season,172,0,7,227,4962,72,67,25,393,4569,92.1,2.37,17,9942:12,596532
https://en.khl.ru/players/21417/,Barry Brust,Goalie,Playoffs,13,0,0,6,464,3,10,0,39,425,91.6,2.89,0,810:19,48619
https://en.khl.ru/players/21417/,Barry Brust,Goalie,KHL Total,185,0,7,233,5426,75,77,25,432,4994,92.0,2.41,17,10752:31,645151
