Profile,Player,Role,Year,Season,Team_id,Date,Home_team,Away_team,Home_score,Away_score,Length,Number,Goals,Assists,Penalties,Shots,Icetime,Icetime_seconds,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,2014/2015,Regular season,26,2015-01-13,Torpedo,Jokerit,3,4,Standard,31,0,0,0,11,34:16,2056,0,1,0,2,9,81.8,3.5,0
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,2015/2016,Regular season,26,2015-12-22,Torpedo,SKA,6,5,Overtime,31,0,0,0,7,32:06,1926,1,0,0,1,6,85.7,1.87,0
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,2015/2016,Regular season,26,2015-12-26,Slovan,Torpedo,3,0,Standard,31,0,0,0,6,28:19,1699,0,1,0,2,4,66.7,4.24,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2013/2014,Regular season,56,2013-09-08,Barys,Severstal,10,1,Standard,52,0,0,0,16,20:00,1200,0,0,0,3,13,81.2,9.0,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2013/2014,Regular season,56,2013-09-22,Severstal,Spartak,4,5,Overtime,52,0,0,0,0,0:15,15,0,0,0,0,0,,0.0,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2014/2015,Regular season,206,2014-12-03,Atlant,Sibir,2,5,Standard,31,0,0,0,12,39:52,2392,0,0,0,2,10,83.3,3.01,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2014/2015,Regular season,206,2014-12-25,Lokomotiv,Atlant,6,3,Standard,31,0,0,0,22,54:44,3284,0,1,0,3,19,86.4,3.29,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2014/2015,Regular season,206,2015-01-12,HC Sochi,Atlant,6,4,Standard,31,0,0,0,11,41:38,2498,0,1,0,1,10,90.9,1.44,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2014/2015,Regular season,206,2015-02-07,Atlant,Avtomobilist,2,3,Shootouts,31,0,0,0,40,65:00,3900,0,0,1,2,38,95.0,1.85,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2014/2015,Regular season,206,2015-02-09,Atlant,Ugra,6,1,Standard,31,0,0,0,27,60:00,3600,1,0,0,1,26,96.3,1.0,0
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,2015/2016,Regular season,451,2015-09-14,Avangard,HC Sochi,5,1,Standard,31,0,0,0,12,53:38,3218,0,0,0,3,9,75.0,3.36,0
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,2008/2009,Regular season,25,2008-09-03,Traktor,Severstal,3,2,Standard,74,0,0,0,27,60:00,3600,1,0,0,2,25,92.6,2.0,0
