Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,Regular season,2015/2016,Torpedo (Nizhny Novgorod Region),31.0,2,0,0,0,13,1,1,0,3,10,76.9,2.98,0,60:25,3625
https://en.khl.ru/players/16462/,Maxim Alyapkin,Goalie,Regular season,2014/2015,Torpedo (Nizhny Novgorod Region),31.0,1,0,0,0,11,0,1,0,2,9,81.8,3.5,0,34:16,2056
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,Regular season,2015/2016,Sochi (Sochi),31.0,1,0,0,0,12,0,0,0,3,9,75.0,3.36,0,53:38,3218
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,Regular season,2014/2015,Atlant (Moscow Region),31.0,5,0,0,0,112,1,2,1,9,103,92.0,2.07,0,261:14,15674
https://en.khl.ru/players/16898/,Artyom Artemyev,Goalie,Regular season,2013/2014,Severstal (Cherepovets),52.0,2,0,0,0,16,0,0,0,3,13,81.2,8.89,0,20:15,1215
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Regular season,2011/2012,Vityaz (Moscow Region),74.0,28,0,0,0,779,4,13,2,65,714,91.7,3.11,0,1252:59,75179
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Regular season,2010/2011,Traktor (Chelyabinsk),74.0,23,0,0,2,431,7,9,4,48,383,88.9,2.61,1,1103:32,66212
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Playoffs,2009/2010,Traktor (Chelyabinsk),74.0,3,0,0,0,74,1,1,0,6,68,91.9,2.46,0,146:05,8765
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Regular season,2009/2010,Traktor (Chelyabinsk),74.0,40,0,1,0,1016,13,16,4,105,911,89.7,3.05,2,2063:21,123801
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Playoffs,2008/2009,Traktor (Chelyabinsk),74.0,3,0,0,0,67,0,3,0,9,58,86.6,4.22,0,128:06,7686
https://en.khl.ru/players/14909/,Danila Alistratov,Goalie,Regular season,2008/2009,Traktor (Chelyabinsk),74.0,39,0,1,2,885,17,16,3,94,791,89.4,2.73,2,2068:19,124099
https://en.khl.ru/players/6237/,Alexei Anisimov,Goalie,Regular season,2009/2010,Lada (Togliatti),30.0,14,0,0,0,208,0,5,1,29,179,86.1,3.66,0,475:36,28536
https://en.khl.ru/players/6237/,Alexei Anisimov,Goalie,Regular season,2008/2009,Amur (Khabarovsk),22.0,3,0,0,0,20,0,0,2,4,16,80.0,6.61,0,36:20,2180
https://en.khl.ru/players/22425/,Alexei Artamkin,Goalie,Regular season,2018/2019,Severstal (Cherepovets),97.0,6,0,0,0,147,0,4,0,16,131,89.1,4.1,0,234:09,14049
