URL,Player name,Born,Shoots,Country
https://en.khl.ru/players/16673/,Sergei Abramov,1993-02-01,left,Russia
https://en.khl.ru/players/16462/,Maxim Alyapkin,1993-02-28,left,Russia
https://en.khl.ru/players/19200/,Dmitry Ambrozheichik,1995-03-26,right,Belarus
https://en.khl.ru/players/13714/,Vitaly Anikeyenko,1987-01-02,right,Russia
https://en.khl.ru/players/20844/,Semyon Afonasyevsky,1996-10-15,left,Russia
https://en.khl.ru/players/16898/,Artyom Artemyev,1993-01-03,left,Russia
https://en.khl.ru/players/14909/,Danila Alistratov,1990-10-30,left,Russia
https://en.khl.ru/players/31046/,Yegor Afanasyev,2001-01-23,left,Russia
https://en.khl.ru/players/34493/,Danil Alalykin,2001-03-27,left,Russia
https://en.khl.ru/players/4219/,Sergei Akimov,1976-10-15,left,Russia
https://en.khl.ru/players/14763/,Sergei Andronov,1989-07-19,left,Russia
https://en.khl.ru/players/6237/,Alexei Anisimov,1984-04-15,left,Russia
https://en.khl.ru/players/15889/,Ilya Antonovsky,1989-07-03,left,Russia
https://en.khl.ru/players/3989/,Vitaly Atyushov,1979-07-04,left,Russia
https://en.khl.ru/players/23434/,Jonas Ahnelov,1987-12-11,left,Sweden
https://en.khl.ru/players/20970/,Marko Anttila,1985-05-27,right,Finland
https://en.khl.ru/players/5936/,Evgeny Artyukhin,1983-04-04,left,Russia
https://en.khl.ru/players/15218/,Johan Akerman,1972-11-20,right,Sweden
https://en.khl.ru/players/26698/,Yegor Alanov,2000-12-16,left,Russia
https://en.khl.ru/players/17986/,Ruslan Andreichikov,1992-07-28,right,Belarus
https://en.khl.ru/players/17249/,Vyacheslav Andryushchenko,1989-07-04,right,Belarus
https://en.khl.ru/players/35353/,Danil Aimurzin,2002-04-17,right,Russia
https://en.khl.ru/players/31043/,Malik Alishlalov,2001-01-07,left,Russia
https://en.khl.ru/players/25168/,Timur Akhiyarov,1999-09-19,left,Russia
https://en.khl.ru/players/22425/,Alexei Artamkin,1997-05-13,left,Russia
https://en.khl.ru/players/16119/,Alexander Antropov,1990-08-16,right,Russia
https://en.khl.ru/players/29108/,Artur Akhtyamov,2001-10-31,left,Russia
https://en.khl.ru/players/19232/,Alexander Akmaldinov,1994-06-23,left,Russia
https://en.khl.ru/players/14597/,Yegor Averin,1989-08-25,left,Russia
https://en.khl.ru/players/14551/,Mikhail Anisin,1988-03-01,left,Russia
https://en.khl.ru/players/26794/,Vadim Antipin,2000-10-03,left,Russia
https://en.khl.ru/players/20958/,Nikolai Averin,1996-09-16,left,Russia
https://en.khl.ru/players/17470/,Nikita Aryutin,1994-06-07,left,Russia
https://en.khl.ru/players/20736/,Matt Anderson,1982-10-31,right,USA
https://en.khl.ru/players/16824/,Nick Angell,1979-10-31,right,USA
https://en.khl.ru/players/5078/,Vladimir Antipin,1970-04-18,left,Russia
https://en.khl.ru/players/4475/,Alexei Akifyev,1976-01-22,right,Russia
https://en.khl.ru/players/14267/,Yury Alexandrov,1988-06-24,left,Russia
https://en.khl.ru/players/23483/,Ilya Avramenko,1998-09-13,left,Russia
https://en.khl.ru/players/18767/,Ari Ahonen,1981-02-06,left,Finland
https://en.khl.ru/players/16297/,Artur Amirov,1992-04-03,left,Russia
https://en.khl.ru/players/24998/,Ilnur Abdulkhakov,1999-01-15,left,Russia
https://en.khl.ru/players/25739/,Jason Akeson,1990-06-03,right,Canada
