URL,Player name,IDSeason,Season,Team,Date,Teams,Score,№,G,Assists,PTS,+/-,+,-,PIM,ESG,PPG,SHG,OTG,GWG,SDS,SOG,%SOG,FO,FOW,%FO,TOI,SFT,HITS,BLS,FOA
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,18 Sep 2013,Metallurg Mg - Sibir,3:2 ОТ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,1:53,3.0,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,22 Sep 2013,Neftekhimik - Sibir,4:3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,24 Sep 2013,Traktor - Sibir,1:0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0:17,1.0,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,11 Dec 2013,Avangard - Sibir,3:2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,1,100.0,5:05,7.0,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,13 Dec 2013,Barys - Sibir,3:4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,29 Jan 2014,Sibir - Neftekhimik,4:0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,27 Feb 2014,Amur - Sibir,1:2 Б,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,9,7,77.8,13:03,19.0,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,244,Regular season 2013/2014,29,1 Mar 2014,Admiral - Sibir,3:1,17,0,0,0,-1,0,1,0,0,0,0,0,0,0,2,0.0,8,3,37.5,9:02,13.0,,,
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,6 Oct 2014,Sibir - Torpedo,2:3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,0.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,10 Oct 2014,Barys - Sibir,6:3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,2:34,3.0,0.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,12 Oct 2014,Salavat Yulaev - Sibir,2:3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,100.0,1:36,3.0,0.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,14 Oct 2014,Avangard - Sibir,1:3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,0.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,17 Oct 2014,Sibir - Lokomotiv,1:4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,3:48,5.0,0.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,266,Regular season 2014/2015,29,19 Oct 2014,Sibir - Vityaz,2:3,17,1,0,1,1,1,0,0,1,0,0,0,0,0,1,100.0,1,0,0.0,3:22,5.0,0.0,0.0,0.0
